Name,Age,Major,GPA,Year,Club,Position
James Smith,20,Electrical Engineering,3.7,Sophomore,Business Club,Part-time at MarketPlace
Jessica Harris,25,Computer Science,3.31,Freshman,Coding Club,Member of ChemClub
Christopher Martin,19,Physics,3.63,Sophomore,IEEE Member,Part-time at MarketPlace
Emily Taylor,21,Mechanical Engineering,3.29,Junior,Coding Club,Part-time at MarketPlace
Linda Brown,21,Environmental Science,3.63,Freshman,Robotics Team,Tutor at MathCenter
Robert White,19,Civil Engineering,2.65,Freshman,Math Club,Member of ChemClub
Patricia Moore,21,Mathematics,3.76,Senior,Coding Club,Tutor at MathCenter
Michael Moore,21,Physics,3.96,Sophomore,Robotics Team,Business Club President
David Smith,19,Business Administration,2.6,Senior,Business Club,Part-time at BuildCorp
Barbara Brown,23,Computer Science,2.5,Freshman,Debate Team,Research Assistant
Jessica Harris,23,Environmental Science,3.48,Junior,Soccer Club,Part-time at AutoWorks
Linda Taylor,23,Mechanical Engineering,3.89,Junior,Green Club,Part-time at MarketPlace
Michael Thomas,19,Chemistry,3.38,Junior,Debate Team,Intern at TechCorp
Jessica Clark,20,Mechanical Engineering,3.63,Freshman,Coding Club,Intern at TechCorp
John Anderson,21,Chemistry,3.2,Junior,IEEE Member,Intern at StartUp
John Davis,18,Economics,2.21,Sophomore,Research Assistant,Part-time at ElectricWorks
Thomas Clark,18,Electrical Engineering,3.81,Junior,Coding Club,Part-time at AutoWorks
Sarah Taylor,19,Mathematics,2.74,Senior,Green Club,Member of BioSociety
Thomas Doe,18,Business Administration,3.98,Freshman,Research Assistant,Tutor at MathCenter
Linda Jackson,23,Computer Science,3.34,Junior,ChemClub,Part-time at MarketPlace
Jane Smith,24,Environmental Science,2.04,Junior,Research Assistant,Intern at ResearchLab
Patricia Anderson,19,Mechanical Engineering,2.48,Senior,ASCE Member,Business Club President
Robert Smith,19,Biology,2.5,Junior,Green Club,Tutor at MathCenter
John Anderson,22,Mathematics,3.72,Senior,Business Club,Intern at TechCorp
Linda Brown,21,Biology,2.84,Sophomore,Debate Team,Member of ChemClub
Barbara Harris,22,Business Administration,2.94,Freshman,Business Club,Intern at ResearchLab
David Wilson,24,Chemistry,3.45,Senior,Math Club,Tutor at MathCenter
Christopher Wilson,21,Mechanical Engineering,3.67,Sophomore,Debate Team,Member of BioSociety
Thomas Davis,20,Biology,3.09,Sophomore,Business Club,Member of ChemClub
Emily Thomas,23,Civil Engineering,2.3,Sophomore,Green Club,Intern at ResearchLab
David Harris,24,Biology,3.46,Sophomore,ASCE Member,Part-time at MarketPlace
Barbara Clark,23,Mechanical Engineering,2.26,Sophomore,Math Club,Member of BioSociety
Mary Anderson,23,Business Administration,2.46,Sophomore,ChemClub,Member of BioSociety
Thomas Doe,25,Environmental Science,2.65,Freshman,BioSociety,Research Assistant
Robert Martin,18,Mathematics,2.65,Sophomore,Robotics Team,Research Assistant
Linda Johnson,21,Environmental Science,2.16,Freshman,BioSociety,Intern at StartUp
